brand;name;category;slug;description;catalog_page;variant_count;needs_review;review_note
Ani-k;Pestañina Brown Paradise;Maquillaje;ani-k-pestanina-brown-paradise;Pestañina café a prueba de agua. Rizo intacto todo el día, con largo y volumen.;5;1;;
Ani-k;Gel Fijador de Cejas Freeze Babes;Maquillaje;ani-k-gel-fijador-de-cejas-freeze-babes;Fijador de cejas con aceite de ricino y ácido hialurónico. Peina, define y mantiene cada vello en su lugar.;5;1;;
Ani-k;Polvo Suelto;Maquillaje;ani-k-polvo-suelto;Sella y matifica. Acabado de piel porcelana, impecable y radiante. Libre de parabenos.;6;4;;
Ani-k;Corrector de Ojeras;Maquillaje;ani-k-corrector-de-ojeras;Fórmula vegana, textura cremosa e hidratante. Cobertura media-alta construible sin sensación pesada.;6;6;;
Ani-k;Beauty Blender;Maquillaje;ani-k-beauty-blender;Ideal para aplicar y difuminar productos en crema, logrando un acabado natural.;7;1;;
Ani-k;Borla X2;Accesorios;ani-k-borla-x2;La herramienta perfecta para una piel impecable y perfectamente sellada.;7;1;;
Atenea;Lipstick Balm;Maquillaje;atenea-lipstick-balm;Textura cremosa con acabado luminoso y jugoso. Cobertura media, fórmula hidratante de alto desempeño.;9;6;;
Atenea;Bronzer Cremoso;Maquillaje;atenea-bronzer-cremoso;Stick de textura cremosa, fácil difuminación y alta pigmentación. Construye la tonalidad que desees.;10;2;;
Atenea;Rubor Cremoso;Maquillaje;atenea-rubor-cremoso;Stick cremoso de fácil difuminación y alta pigmentación. También sirve como sombra y labial.;10;4;;
Atenea;Rubor Sublime;Maquillaje;atenea-rubor-sublime;Rubor en polvo de alta pigmentación. Estuche de lujo con espejo, textura suave y color prolongado.;11;7;;
Atenea;Paleta Essential;Maquillaje;atenea-paleta-essential;Paleta multipropósito con rubor mate y satinado, bronzer e iluminador. Alta pigmentación, presentación compacta.;12;1;;
Atenea;Paleta Rose Sublime;Maquillaje;atenea-paleta-rose-sublime;Alta pigmentación y fácil difuminación para crear looks en tendencia.;12;1;;
Atenea;Serum Tinted;Maquillaje;atenea-serum-tinted;Tinta con color de cobertura ligera y acabado luminoso. 1% de ácido hialurónico que hidrata y unifica el tono.;13;6;;
Atenea;Paleta Classic;Maquillaje;atenea-paleta-classic;35 tonos nude, rosados, cafés y shimmer para maquillajes sofisticados, románticos y glam.;14;1;;
Atenea;Paleta Art Deco;Maquillaje;atenea-paleta-art-deco;10 tonos mate y 8 satinados, de alta pigmentación y fácil difuminación.;14;1;;
Atenea;Lip Balm Péptidos;Maquillaje;atenea-lip-balm-peptidos;Nutre, hidrata y da brillo a los labios. Disponible en 5 tonos con aroma.;15;5;;
Atenea;Polvo Suelto Translúcido;Maquillaje;atenea-polvo-suelto-translucido;Polvo suelto translúcido ideal para sellar maquillaje cremoso y matificar el brillo de la piel.;15;1;;
Atenea;Click Lipstick;Maquillaje;atenea-click-lipstick;Formato CLICK que dosifica la cantidad exacta al presionar la base. Textura suave y acabado brillante.;16;11;;
Atenea;Polvo en Gel Matificante;Maquillaje;atenea-polvo-en-gel-matificante;Control inmediato de brillo. Tecnología polvo-gel que se activa al contacto con la piel para un acabado aterciopelado y mate.;17;1;;
Atenea;Polvo Suelto Rosado;Maquillaje;atenea-polvo-suelto-rosado;Sella la zona de la ojera y la conecta con el rubor para un efecto de blush infinito.;17;1;SI;PRECIO CORTADO EN EL PDF ('Valor: $2...'). Verificar.
Atenea;Algodón Luxury Desmaquillante;Accesorios;atenea-algodon-luxury-desmaquillante;Algodones para limpiar excesos de maquillaje o desmaquillarse al final del día.;18;1;;
Atenea;Desinfectante en Spray;Cuidado Corporal;atenea-desinfectante-en-spray;Desinfectante en spray con suave aroma. Perfecto antes y después de comer y para refrescar las manos.;18;3;;
Bloomshell;Corrector My Concealer;Maquillaje;bloomshell-corrector-my-concealer;Corrector de ojeras con cubrimiento e hidratación. Contiene ácido hialurónico y vitamina E. Brocha gruesa.;20;10;;
Bloomshell;Bloom Capuchic;Maquillaje;bloomshell-bloom-capuchic;Brillo hidratante con irresistible aroma a capuchino. Deja los labios suaves y nutridos.;21;1;;
Bloomshell;Bloom Fix;Maquillaje;bloomshell-bloom-fix;Fijador de maquillaje de fórmula ligera y secado rápido. Sella sin resecar la piel.;21;1;;
Bloomshell;Llavero Brillo Hidratante y Tinta;Accesorios;bloomshell-llavero-brillo-hidratante-y-tinta;Llavero que combina practicidad, color vibrante y un toque ultra femenino.;22;1;;
Bloomshell;Bloom Lamination;Maquillaje;bloomshell-bloom-lamination;Cejas definidas, peinadas y con efecto laminado todo el día. Fórmula ligera y resistente al agua.;22;1;;
Montoc;Corrector Serum Humide;Maquillaje;montoc-corrector-serum-humide;Corrector en gel para ojeras, imperfecciones y rojeces. Cobertura media-alta sin resecar la piel.;24;11;;
Montoc;Set x2 Tinta + Corrector;Maquillaje;montoc-set-x2-tinta-corrector;Kit edición limitada: base tipo tinta con retinol vegano y corrector de ojeras en gel de tono más oscuro.;25;2;;
Montoc;Tinta Healthy Foundation;Maquillaje;montoc-tinta-healthy-foundation;Ayuda a hidratar y a unificar el tono de la piel de forma saludable.;25;7;;
Montoc;Rubor Líquido Glow Filter;Maquillaje;montoc-rubor-liquido-glow-filter;Rubor líquido con partículas de brillo. Textura fluida, fácil de difuminar, acabado glow.;26;2;;
Montoc;Fijador Dixy Fix;Maquillaje;montoc-fijador-dixy-fix;Prolonga la duración del maquillaje y controla el brillo. Para pieles normales, mixtas y grasas.;26;2;SI;"El PDF muestra $20.000 para 30ml; el precio de 80ml está cortado. Verificar precio por tamaño."
